id,origin,destination,distance_km,zone,base_fare_zar
1,BELLVILLE,DURBANVILLE,12.92,Zone 3,18.0
2,BELLVILLE,NYANGA,15.81,Zone 3,18.0
3,BELLVILLE,KHAYELITSHA,22.22,Zone 4,25.0
4,BELLVILLE,MOWBRAY,24.91,Zone 4,25.0
5,GUGULETU,CLAREMONT,15.46,Zone 3,18.0
6,GUGULETU,SEA POINT,35.08,Zone 5,35.0
7,KHAYELITSHA,WYNBERG,22.4,Zone 4,25.0
8,MITCHELLS PLAIN - TOWN CENTRE,WYNBERG,26.38,Zone 4,25.0
9,LANGA,CAPE TOWN,15.4,Zone 3,18.0
10,LANGA,SEA POINT,24.45,Zone 4,25.0
11,LANGA,MOWBRAY,9.84,Zone 2,12.0
12,NYANGA,WYNBERG,14.23,Zone 3,18.0
13,NYANGA,CLAREMONT,16.18,Zone 3,18.0
14,NYANGA,ATHLONE,11.53,Zone 3,18.0
15,NYANGA,MOWBRAY,15.65,Zone 3,18.0
16,NYANGA,CAPE TOWN,23.15,Zone 4,25.0
17,WYNBERG,KHAYELITSHA,32.22,Zone 4,25.0
18,WYNBERG,CONSTANTIA,6.94,Zone 2,12.0
19,WYNBERG,CAPE TOWN,14.55,Zone 3,18.0
20,BONTEHEUWEL,MOWBRAY,10.6,Zone 3,18.0
21,CAPE TOWN,HOUT BAY,30.33,Zone 4,25.0
22,HEIDEVELD,MOWBRAY,11.72,Zone 3,18.0
23,HEIDEVELD,CAPE TOWN,18.58,Zone 3,18.0
24,OCEAN VIEW,FISH HOEK,12.31,Zone 3,18.0
25,WYNBERG,HOUTBAY,21.37,Zone 4,25.0
26,MOWBRAY,MANENBERG,13.92,Zone 3,18.0
27,KHAYELITSHA,MOWBRAY,24.43,Zone 4,25.0
28,NYANGA,PAROW,17.28,Zone 3,18.0
29,ELSIES RIVER,NYANGA,13.85,Zone 3,18.0
30,PAROW,NYANGA,13.9,Zone 3,18.0
31,BONTEHEUWEL,CAPE TOWN,11.75,Zone 3,18.0
32,KHAYELITSHA,LANGA,19.14,Zone 3,18.0
33,MITCHELLS PLAIN 3RD/7TH AVENUE,HANOVER PARK,17.15,Zone 3,18.0
34,CAPE TOWN,HEIDEVELD,19.5,Zone 3,18.0
35,MFULENI,BLACKHEATH,7.72,Zone 2,12.0
36,HANOVER PARK,CLAREMONT,7.87,Zone 2,12.0
37,BELLVILLE,MAKHAZA KHAYELITSHA,29.88,Zone 4,25.0
38,BELLVILLE,WALLACEDENE,14.24,Zone 3,18.0
39,LWANDLE,SOMERSET WEST,7.5,Zone 2,12.0
40,LWANDLE,KHAYELITSHA,34.76,Zone 4,25.0
41,THE HAGUE DELFT,MITCHELLS PLAIN,16.14,Zone 3,18.0
42,VOORBRUG DELFT,MITCHELLS PLAIN,15.22,Zone 3,18.0
